experiment,differential_evolution,firefly_algo,particle_swarm,som_algorithm,tlbo_algorithm
0,1.4385936421848116,5.413898197349674,1.0262259807705492,2.3103973595816,0.554200162329211
1,1.5231914404608842,5.610021523662197,1.0353520190822296,2.931596142250063,0.9439476211356509
2,1.734659626769955,4.675516837015163,1.0364815480042784,2.428077182971914,1.0165667445985285
3,1.7953182381325,4.711780733546481,0.9278815664417581,2.397711933853958,0.9542395885410836
4,1.4270293275415817,5.432679786414322,1.0158681900463724,2.604035965019265,0.9634385336033113
5,1.5267608021445735,5.378604940523751,0.9579239449785947,2.4183298049953286,0.8769258227965595
6,1.6997478183596233,4.886150042313619,0.9985515131112064,2.8235581362485327,0.7588959700782589
7,1.8674820526497442,5.876648175618034,1.0420578676016623,2.3810622358651026,0.9592388216507671
8,1.6793932317797147,4.001685805571177,0.9051958403651618,2.6429878126506425,0.9613544998041087
9,1.7211329908631203,5.1023807593324,1.0359850621531692,2.942106986153063,0.78392308388001
10,1.8162276144813525,5.473851122711462,1.0166414930058392,2.806170225184574,0.7136979965437629
11,1.8690605114101848,5.915944656209233,1.021703697003239,2.9354831064423053,0.9627670918555175
12,1.694654961892388,5.6189527171925,1.0235209532693692,2.8430432472938536,0.709565174871456
13,1.6300411136878559,5.916649802833579,1.041532850766777,2.578920789935363,0.995430815254973
14,1.6257115108186095,4.556163043693079,0.9710311707118623,2.8681172499625323,0.3391012246962617
15,1.913328108847658,5.061038688572169,0.9964905635431964,2.6523258873453317,0.8681050744415787
16,1.941935677565175,4.854566932081716,1.0291504999467858,2.6317808250487595,0.8227282815316699
17,1.8498288786201136,4.246732124284366,1.0267196428700291,2.4779638965589443,0.7721954260277637
18,1.4473436081964706,5.670308444433362,1.0326760431744872,3.09060962077437,0.912594544564382
19,1.7430176591674944,4.9886987487315135,1.0598159977352781,2.6299559563750328,0.6859898947068583
20,1.6118887146612053,5.7331687429135565,1.0096238329335279,2.5641909230470192,0.9400059366671338
21,1.6824204126310565,4.8563959198431075,0.7824631204858935,2.5256726959865476,0.6311326002115725
22,1.530685131402191,5.177232020446046,1.0219503282136402,2.601925927344201,0.5007108460520266
23,1.6018327194797237,5.461534763474528,1.0163249095839246,3.03500544234754,0.8493184109369465
24,1.650430585408699,5.2329731494951615,1.0226970081199438,2.4283812922427863,0.6960817356171869
25,2.0036761032625634,4.175143556243315,0.9605928843686963,2.3431709570553343,0.9924824443764355
26,1.6519989212160904,4.250544916011772,1.0323711306069483,2.8078799838400648,0.9800291560092678
27,1.4791610410148577,5.45601996858836,1.0357591528245442,2.3879429005314012,0.5579355286117427
28,1.6273480619942728,6.160862256409745,1.045710502923591,3.0746218394947666,0.4733632135152366
29,1.6255319844390868,5.505033647279889,1.0321560280302908,3.014271010455889,0.891840186609718
