experiment,differential_evolution,firefly_algo,particle_swarm,som_algorithm,tlbo_algorithm
0,-8.853886121951653,0.0038781470784933223,-4.268027854114357,-6.786703741429571,-7.144116215537825
1,-7.653221484172437,0.002109013339722747,-4.421325537529034,-6.7300162503403955,-8.579360016052712
2,-9.11208926531526,0.005856847752481139,-4.963270938822786,-7.333727273163291,-9.359716453658383
3,-8.814623763478133,0.0002979849555211476,-3.77929854287194,-6.708296294389045,-8.452412494545634
4,-7.700017855563497,0.0019728871536528413,-4.481244592652793,-7.679498935179688,-8.950325102145818
5,-7.438805792764974,0.02849216675950672,-4.051458203579094,-6.320917853663724,-8.729895674520138
6,-9.123732375533587,0.000910077714435528,-3.2528800993545524,-7.55784052327862,-9.132448962929555
7,-8.40280093443421,0.005631194833187636,-3.6302743047485193,-5.735061142445739,-8.417101231394504
8,-8.793309484123904,0.006103756731763742,-5.0399488033063635,-6.768960804199997,-9.741883586782944
9,-7.889752137139745,0.0009169599033752358,-5.141711094648841,-6.516477994908896,-7.9006185920026715
10,-7.909408092875079,0.011667493708251332,-3.9159243855190637,-8.26273692221859,-8.774164424143585
11,-8.165520327769146,0.010090911289145334,-4.789002023160436,-7.840596619513159,-8.787382313982622
12,-8.028106907201428,0.010940152576798048,-5.642579306558161,-7.947171520537901,-9.153851839395694
13,-8.496142222364528,0.031917411908130626,-5.017066378856472,-7.3402254958512,-8.441835193286083
14,-8.063340665516012,0.0012713777130004544,-4.371555502821916,-6.2582741966491335,-8.198756028705686
15,-8.620958488973635,0.0015479281440331817,-4.21357977642595,-6.993106576013801,-8.540961465347173
16,-8.136111773001206,0.00457997472918914,-5.132108807914795,-7.131016455750666,-8.65478355535704
17,-7.453390232450497,0.029015790860477356,-4.086129144923413,-6.746217487159232,-7.765376473643115
18,-9.113207532127987,0.0058812204999988005,-6.03652222251595,-6.3630270057390526,-8.245965310276477
19,-7.728502048654697,0.017434491486243084,-3.6424663104620074,-7.317865779597066,-8.26172438032608
20,-8.154815951850212,0.005065811489346199,-4.653139422951752,-7.134782538839664,-7.389903547887936
21,-8.717584920300101,0.005271947987869504,-4.215771450596327,-7.0078877586931165,-8.627701269519292
22,-6.98811280125444,0.01990447202377272,-4.160881195920628,-7.5348968309848665,-8.991148680485502
23,-8.154377263517352,0.02346635967050573,-3.4467900773854936,-8.964189457291399,-8.236640285068265
24,-9.512086726271436,0.0011919687048990157,-5.734696521403732,-6.953514147245077,-9.718301861178322
25,-8.47513609698087,0.008509193566526796,-4.348915614970403,-7.205777332521709,-8.92483425775384
26,-8.875144008472507,0.0031416456737466524,-5.108287044880953,-7.49139664925532,-9.270972083367889
27,-8.389347732777395,0.026125670209706253,-5.180310661578488,-8.381005624909461,-7.588302824793573
28,-8.284587054678914,0.004111118608902507,-3.6996052038812923,-7.591470230185481,-9.290144423049377
29,-7.789462769981108,0.0006270445209847347,-4.455693461085912,-6.4191691655344005,-8.6472386073968
