experiment,differential_evolution,firefly_algo,particle_swarm,som_algorithm,tlbo_algorithm
0,319.798114343493,466.2227971906572,140.9488711618638,326.7634427279686,158.37717651924854
1,255.2328280589629,428.3643922235385,92.73698418639194,363.43617580402156,136.46532671585496
2,280.66142526360375,434.7610475730997,134.86440640895233,321.5607819905081,134.26917832448703
3,293.2151945215576,375.2958660295647,87.91082592757357,298.6960574440464,141.46271173010274
4,275.08966867051805,475.6277611596733,93.53507463523471,302.3791571473484,152.49093655924028
5,268.7255367073563,386.4657628758497,99.91567685505122,326.9481720467297,175.7041334886061
6,280.50948922014254,462.0956954765755,130.54527708986416,323.47476498722335,171.59649247592847
7,305.42684297699077,444.3883446063012,139.42085829619657,311.75850117163503,116.74470171626072
8,262.3120412002524,472.69629647076664,115.45551306459693,328.99047123599803,162.56617044421424
9,268.59305169432554,409.3558525683236,86.72465176780365,285.32442308624536,145.3986358741574
10,284.340813670071,429.6063244057727,101.00322307200605,330.53532396121733,125.9407180253534
11,285.09817180627294,454.01961380981845,88.84859442095328,333.8094634827873,176.55930742916468
12,255.39557029137913,422.24978371807055,89.55468626637519,289.10299420100137,87.2734339059791
13,290.33377843162816,428.06951452950665,85.32924473741194,301.75856425308507,149.16206912095237
14,293.98956908646346,442.56466959391423,87.3877606692806,318.3280496914505,144.7189418451217
15,301.46106553602533,416.1746224231062,128.33193966336398,292.41070775034615,137.9795580447894
16,243.36149084625345,451.18967940577613,81.03348326362706,333.79641255527906,119.08774932912712
17,267.83120914666665,456.45701697121166,101.0705334336698,328.3328375156992,179.92698365153086
18,296.35178217728486,421.47321953428207,123.07713043780896,335.49057257364956,159.89500352409095
19,289.66353353976064,419.74940399462673,111.28468303518576,309.1559543656212,187.61744688139146
20,277.81228267738607,443.18241979595985,105.02783632518504,340.8024075847902,129.9059649579617
21,288.80086936654783,489.1428858764083,122.32071711376439,343.3697660921646,158.2720208369821
22,243.73382943964899,459.3598221804987,125.44806975578234,315.69310000763903,193.85862276003652
23,275.63013780462165,416.77712929696736,104.33829251815371,341.85119938076184,168.55523335884337
24,292.6041939177022,414.175032187981,125.69223555543766,292.89363843947984,177.8532335336363
25,286.3791595293727,428.5734446626072,95.52080922594746,351.2011598233666,133.09484526111848
26,272.0779732636266,425.7425884715494,101.91810425339969,332.9904370939626,135.22700908036975
27,288.97406246103947,445.98634780487595,111.00380217275858,312.75672162963014,154.03952870302504
28,262.9176991955612,381.598946999647,122.63875323447594,345.2425672855765,173.00144340313727
29,248.6440473539642,407.8782060835434,104.49322464007437,332.66265773455495,185.14223039828326
