experiment,differential_evolution,firefly_algo,particle_swarm,som_algorithm,tlbo_algorithm
0,197615.85523744626,2594110.063095348,908.5246558039753,340278.0611087814,111.33723585145175
1,371937.91924080113,2223361.6920799855,1246.085522219781,624070.7124086043,163.8233685437583
2,246810.33629180642,2809970.4262364577,285.706090897943,607458.520973741,212.26847522986384
3,117779.12763191469,3103921.902763045,744.2243266450101,434863.68249429524,190.56248804427358
4,178588.9970321166,3001345.475190366,474.8091014393083,585405.7500625438,406.3173934994866
5,227529.95858897667,3142260.230847531,299.35429145257973,747253.1143740931,204.39124731413054
6,171909.58943411743,3467370.9953926806,738.633134518512,840884.4661521115,244.70247545711982
7,223375.6185730301,3230168.133858983,1202.991979851313,560702.7457930151,359.9588687769368
8,235940.1934068028,3289471.848725014,1010.1141164850487,696181.9387148664,360.2015717602986
9,221091.823516638,3257535.971547172,1750.803978345492,882516.3348713873,271.71244907318516
10,180039.4446402095,2420356.488219442,346.2542014955161,334510.80463862076,203.40598799891075
11,253156.4968147004,2983684.017298063,374.5676632776064,455443.375177256,447.57205540717734
12,129101.64276980431,2920816.7366207913,241.28046404637882,695900.0628147937,433.5665880464696
13,286502.92101090465,2470787.9938838584,835.7386189155374,532194.6622088297,137.3837899047806
14,411350.69770292536,2982034.6300035347,849.1280898710809,536988.6108195764,256.27091873012006
15,187095.23932461123,3186395.6096380055,515.1730055907033,700979.849793355,192.59075433418127
16,280004.5427046143,2921137.787862788,1030.5480052564526,627304.798167515,158.07346815735178
17,105781.47487005054,3475586.155324396,1361.1320702248368,619533.8545879957,507.8202080943632
18,288322.0434764224,2376903.8027818063,467.17697817661264,881887.9397068687,209.5095183418882
19,244197.44290888045,3409572.303631973,400.49203426282253,578228.8799980652,269.47830050931395
20,202194.5630572756,2446803.016593714,369.02254278397436,895617.8131688051,144.49043805093856
21,221625.53367187298,3417340.413152412,309.0855794516786,617962.7070292953,146.4928776641291
22,258368.75145652375,1893272.787460382,993.0399794651767,664283.5014657396,111.9674983274432
23,257992.94788384717,2876705.9817282986,822.8181202189221,405440.39550533873,351.02883269093064
24,277285.78592847404,2645779.6436710497,768.1633833867004,1012710.4689700082,305.32725566547913
25,121582.58075994601,3172513.380723525,570.7114730504208,416972.4165281199,308.6450635164647
26,119087.10097353067,2705035.247406985,630.9622198236623,264860.05350277934,147.41871252742797
27,166918.12696579017,2135199.1902829735,1046.6336213353422,661549.0183153964,96.83847001810034
28,227167.5046469261,3737965.7606024668,1106.0095287841814,418852.7040184911,121.84308624947693
29,210160.7490697304,2752436.7112902696,698.0004261180035,733799.4506282264,315.22663211173995
